D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_02_392.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_02_392.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_02_392.jpg, 0, 0, 0, 8.011018E-05
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_02_508.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_02_508.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_02_508.jpg, 0, 0, 0, 7.961145E-05
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_02_608.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_02_608.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_02_608.jpg, 0, 0, 0, 8.262561E-05
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_02_716.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_02_716.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_02_716.jpg, 0, 0, 0, 7.836018E-05
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_02_837.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_02_837.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_02_837.jpg, 0, 0, 0, 7.836177E-05
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_02_943.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_02_943.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_02_943.jpg, 0, 0.0691506, 0, 0.03040021
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_03_053.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_03_053.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_03_053.jpg, 0, 0.430896, 0, 0.4589198
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_03_154.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_03_154.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_03_154.jpg, 0, 0.7350031, 0, 1.248953
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_03_255.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_03_255.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_03_255.jpg, -0.09278098, 1, 0, 2.372618
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_03_376.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_03_376.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_03_376.jpg, 0, 1, 0, 3.77976
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_03_474.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_03_474.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_03_474.jpg, 0, 1, 0, 4.948732
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_03_579.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_03_579.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_03_579.jpg, 0, 1, 0, 6.105265
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_03_691.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_03_691.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_03_691.jpg, 0, 1, 0, 7.478344
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_03_796.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_03_796.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_03_796.jpg, -0.3143586, 1, 0, 8.583368
D:\Folders\Autonomous Car\Data\IMG\center_2020_03_20_10_00_03_902.jpg, D:\Folders\Autonomous Car\Data\IMG\left_2020_03_20_10_00_03_902.jpg, D:\Folders\Autonomous Car\Data\IMG\right_2020_03_20_10_00_03_902.jpg, -0.5992095, 1, 0, 9.615906
